class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff
7AT/LC ,REG,E8,Before School ,2011-02-07,1,1,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-08,1,1,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-09,1,1,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-10,1,1,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-11,1,1,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-14,1,2,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-15,1,2,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-16,1,2,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-17,1,2,LC,1,LC
7AT/LC ,REG,E8,Before School ,2011-02-18,1,2,LC,1,LC
10EH/Bs1 ,Business,E8,Period 1,2011-02-07,1,1,AL,1,AL
10EH/Bs1 ,Business,E8,Period 1,2011-02-14,1,2,AL,1,AL
13D/BQ1C,Business,E8,Period 1,2011-02-08,1,1,LC,1,LC
11B/BS1,Business,E8,Period 1,2011-02-09,1,1,LC,1,LC
11EH/BS,Business,E8,Period 1,2011-02-11,1,1,LC ,1,LC
11B/BS1,Business,E8,Period 1,2011-02-15,1,2,LC,1,LC
11B/BS1,Business,E8,Period 1,2011-02-16,1,2,LC,1,LC
11EH/BS,Business,E8,Period 1,2011-02-18,1,2,LC,1,LC
10B/BS1,Business,E8,Period 3,2011-02-07,1,1,LC ,1,LC
11EH/BS,Business,E8,Period 4,2011-02-07,1,1,Lc ,1,LC
11YS/BS1,Business,E8,Period 2,2011-02-08,1,1,HM,1,HM
10YC/BC1,Business,E8,Period 3,2011-02-08,1,1,HM,1,HM
12D/BQ1B ,Business,E8,PERIOD 4,2011-02-08,1,1,HM,1,HM
10XS/BC1,Business,E8,PERIOD 5,2011-02-08,1,1,HM,1,HM
10EH/Bs1 ,Business,E8,PERIOD 2 ,2011-02-09,1,1,AL,1,AL
13D/BQ1C,Business,E8,PERIOD 3,2011-02-09,1,1,LC,1,LC
10HA/BC1,Business,E8,PERIOD 4,2011-02-09,1,1,LC,1,LC
10B/BS1,Business,E8,PERIOD 5,2011-02-09,1,1,LC,1,LC
11YC/BC1B,Business,E8,PERIOD 3,2011-02-10,1,1,HM,1,HM
10HA/BC1,Business,E8,PERIOD 4,2011-02-10,1,1,HM,1,HM
10XS/BC1,Business,E8,PERIOD 5 ,2011-02-10,1,1,HM,1,HM
