class,lesson,room_id,period_id,date,block,week_num,user,year_id,staff,year_end
12A/LC1A,ICT,5,12,2011-09-26,1,2,Timetabled,1,,2012-07-20
10IY/LC2,ICT,5,12,2011-09-27,1,2,Timetabled,1,,2012-07-20
1IY/LC2,ICT,5,12,2011-09-29,1,2,Timetabled,1,,2012-07-20
8C,ICT,5,12,2011-09-30,1,2,Timetabled,1,,2012-07-20
10IZ/LC1,ICT,5,10,2011-09-27,1,2,Timetabled,1,,2012-07-20
10XI/LC1,ICT,5,10,2011-09-28,1,2,Timetabled,1,,2012-07-20
11IZ/LC2,ICT,5,10,2011-09-29,1,2,Timetabled,1,,2012-07-20
7E,ICT,5,10,2011-09-30,1,2,Timetabled,1,,2012-07-20
7A,ICT,5,13,2011-09-26,1,2,Timetabled,1,,2012-07-20
11TZ/IT1B,ICT,5,13,2011-09-27,1,2,Timetabled,1,,2012-07-20
8P,ICT,5,13,2011-09-28,1,2,Timetabled,1,,2012-07-20
9F,ICT,5,13,2011-09-29,1,2,Timetabled,1,,2012-07-20
9F,ICT,5,14,2011-09-27,1,2,Timetabled,1,,2012-07-20
12A/LC1A,ICT,5,14,2011-09-28,1,2,Timetabled,1,,2012-07-20
12A/LC1A,ICT,5,14,2011-09-29,1,2,Timetabled,1,,2012-07-20
9B,ICT,5,14,2011-09-30,1,2,Timetabled,1,,2012-07-20
7P,ICT,5,15,2011-09-26,1,2,Timetabled,1,,2012-07-20
9C,ICT,5,15,2011-09-27,1,2,Timetabled,1,,2012-07-20
9B,ICT,5,15,2011-09-28,1,2,Timetabled,1,,2012-07-20
8T,ICT,5,15,2011-09-29,1,2,Timetabled,1,,2012-07-20
11IX/LC2,ICT,5,15,2011-09-30,1,2,Timetabled,1,,2012-07-20
9P,ICT,3,12,2011-09-26,1,2,Timetabled,1,,2012-07-20
10IY/LC1,ICT,3,12,2011-09-27,1,2,Timetabled,1,,2012-07-20
11IY/LC1,ICT,3,12,2011-09-29,1,2,Timetabled,1,,2012-07-20
8E,ICT,3,12,2011-09-30,1,2,Timetabled,1,,2012-07-20
7S,ICT,3,10,2011-09-26,1,2,Timetabled,1,,2012-07-20
10IZ/LC2,ICT,3,10,2011-09-27,1,2,Timetabled,1,,2012-07-20
10IX/LC3,ICT,3,10,2011-09-28,1,2,Timetabled,1,,2012-07-20
11IZ/LC1,ICT,3,10,2011-09-29,1,2,Timetabled,1,,2012-07-20
7C,ICT,3,13,2011-09-26,1,2,Timetabled,1,,2012-07-20
11YC/BC1,ICY,3,13,2011-09-29,1,2,Timetabled,1,,2012-07-20
7B,ICT,3,14,2011-09-26,1,2,Timetabled,1,,2012-07-20
8F,ICT,3,14,2011-09-27,1,2,Timetabled,1,,2012-07-20
9E,ICT,3,14,2011-09-28,1,2,Timetabled,1,,2012-07-20
11XS,ICT,3,14,2011-09-29,1,2,Timetabled,1,,2012-07-20
9E,ICT,3,14,2011-09-30,1,2,Timetabled,1,,2012-07-20
8B,ICT,3,15,2011-09-26,1,2,Timetabled,1,,2012-07-20
11YS/BC1,ICT,3,15,2011-09-27,1,2,Timetabled,1,,2012-07-20
9P,ICT,3,15,2011-09-29,1,2,Timetabled,1,,2012-07-20
11IX/LC1,ICT,3,15,2011-09-30,1,2,Timetabled,1,,2012-07-20
10IY/LC1,ICT,3,12,2011-10-04,1,1,Timetabled,1,,2012-07-20
11IY/LC2,ICT,3,12,2011-10-06,1,1,Timetabled,1,,2012-07-20
7C,ICT,3,12,2011-10-07,1,1,Timetabled,1,,2012-07-20
8F,ICT,3,10,2011-10-03,1,1,Timetabled,1,,2012-07-20
10IZ/IC2,ICT,3,10,2011-10-04,1,1,Timetabled,1,,2012-07-20
9P,ICT,3,10,2011-10-05,1,1,Timetabled,1,,2012-07-20
11IZ/LC1,ICT,3,10,2011-10-06,1,1,Timetabled,1,,2012-07-20
8E,ICT,3,10,2011-10-07,1,1,Timetabled,1,,2012-07-20
7S,ICT,3,13,2011-10-04,1,1,Timetabled,1,,2012-07-20
11YC/BC1,ICT,3,13,2011-10-06,1,1,Timetabled,1,,2012-07-20
7F,ICT,3,13,2011-10-07,1,1,Timetabled,1,,2012-07-20
10IX/LC3,ICT,3,14,2011-10-03,1,1,Timetabled,1,,2012-07-20
8B,ICT,3,14,2011-10-04,1,1,Timetabled,1,,2012-07-20
9E,ICT,3,14,2011-10-05,1,1,Timetabled,1,,2012-07-20
7B,ICT,3,14,2011-10-06,1,1,Timetabled,1,,2012-07-20
9E,ICT,3,14,2011-10-07,1,1,Timetabled,1,,2012-07-20
7F,ICT,3,15,2011-10-03,1,1,Timetabled,1,,2012-07-20
11YS/BC1,ICT,3,15,2011-10-04,1,1,Timetabled,1,,2012-07-20
9P,ICT,3,15,2011-10-06,1,1,Timetabled,1,,2012-07-20
11IX/LC1,ICT,3,15,2011-10-07,1,1,Timetabled,1,,2012-07-20
12A/LC1B,ICT,4,12,2011-10-03,1,1,Timetabled,1,,2012-07-20
11B/MD1,ICT,4,12,2011-10-05,1,1,Timetabled,1,,2012-07-20
10XY/BT1,ICT,4,12,2011-10-06,1,1,Timetabled,1,,2012-07-20
10TY/IT1,ICT,4,10,2011-10-04,1,1,Timetabled,1,,2012-07-20
10XC/MO1,ICT,4,10,2011-10-05,1,1,Timetabled,1,,2012-07-20
10B/MD1,MEDIA,4,10,2011-10-06,1,1,Timetabled,1,,2012-07-20
11B/MD1,MEDIA,4,13,2011-10-04,1,1,Timetabled,1,,2012-07-20
12A/LC1B,ICT,4,13,2011-10-07,1,1,Timetabled,1,,2012-07-20
10TY/LT1,ICT,4,14,2011-10-03,1,1,Timetabled,1,,2012-07-20
12A/LC1B,ICT,4,14,2011-10-04,1,1,Timetabled,1,,2012-07-20
11XS,ICT,4,14,2011-10-06,1,1,Timetabled,1,,2012-07-20
11XC,ICT,4,15,2011-10-03,1,1,Timetabled,1,,2012-07-20
11B/MD1,MEDIA,4,12,2011-09-28,1,2,Timetabled,1,,2012-07-20
10TY,ICT,4,10,2011-09-27,1,2,Timetabled,1,,2012-07-20
11XY,MEDIA,4,10,2011-09-28,1,2,Timetabled,1,,2012-07-20
10B/MD1,MEDIA,4,10,2011-09-29,1,2,Timetabled,1,,2012-07-20
12A,ICT,4,13,2011-09-30,1,2,Timetabled,1,,2012-07-20
12A,ICT,4,14,2011-09-27,1,2,Timetabled,1,,2012-07-20
11XS,ICT,4,14,2011-09-29,1,2,Timetabled,1,,2012-07-20
10TY,ICT,4,14,2011-09-30,1,2,Timetabled,1,,2012-07-20
11XC,ICT,4,15,2011-09-26,1,2,Timetabled,1,,2012-07-20
11HA,ICT,7,12,2011-09-26,1,2,Timetabled,1,,2012-07-20
10IY,ICT,7,12,2011-09-27,1,2,Timetabled,1,,2012-07-20
11IY,ICT,7,12,2011-09-29,1,2,Timetabled,1,,2012-07-20
